y=646, x=522..531
y=1454, x=377..394
y=1771, x=365..370
y=553, x=442..457
x=355, y=1028..1040
y=1175, x=353..370
x=339, y=1493..1506
y=314, x=328..334
x=404, y=1673..1675
x=434, y=1851..1854
y=485, x=506..529
y=1872, x=460..485
x=463, y=827..829
y=423, x=524..534
y=1873, x=528..531
y=1122, x=446..460
x=423, y=996..1004
y=1663, x=368..377
y=590, x=438..440
y=1369, x=361..385
x=332, y=1571..1583
y=1334, x=323..339
y=830, x=377..397
x=314, y=243..250
x=419, y=1855..1864
x=420, y=1358..1382
x=466, y=623..649
x=336, y=1660..1674
x=453, y=928..943
x=517, y=962..967
y=843, x=491..498
x=479, y=335..345
x=465, y=1617..1625
x=368, y=504..524
y=1456, x=360..362
x=321, y=1360..1372
x=512, y=57..68
y=490, x=408..424
x=309, y=1150..1159
x=531, y=598..604
x=381, y=1476..1500
y=692, x=312..315
x=327, y=832..841
x=446, y=1221..1231
x=436, y=887..893
y=909, x=374..380
y=1516, x=519..521
x=413, y=290..292
x=375, y=850..875
y=1471, x=517..519
x=536, y=1286..1291
y=943, x=453..455
y=826, x=383..385
y=1458, x=481..489
x=346, y=503..524
x=336, y=1241..1253
x=347, y=1300..1310
y=1880, x=536..540
y=487, x=416..418
y=1650, x=311..327
x=533, y=962..967
x=344, y=585..589
x=317, y=503..506
y=17, x=288..305
x=433, y=545..547
y=1119, x=514..530
x=470, y=1088..1090
x=291, y=1729..1742
x=406, y=1753..1763
x=491, y=895..897
x=343, y=847..862
x=433, y=646..657
x=406, y=839..849
x=393, y=1712..1714
x=447, y=476..479
x=416, y=1579..1583
x=302, y=223..225
y=897, x=491..496
y=1495, x=390..408
y=91, x=461..478
x=375, y=1874..1887
y=703, x=452..461
x=452, y=973..994
y=754, x=406..422
x=334, y=305..314
x=333, y=1288..1290
x=440, y=958..962
x=540, y=589..608
y=223, x=491..496
x=351, y=670..690
x=395, y=1587..1596
x=339, y=633..659
x=509, y=1575..1601
x=421, y=697..708
x=408, y=1492..1495
x=392, y=470..476
x=514, y=1117..1119
x=506, y=73..81
x=349, y=1189..1204
y=994, x=443..452
x=516, y=1201..1207
x=391, y=1013..1016
x=340, y=1651..1674
y=666, x=515..542
y=1245, x=325..328
y=169, x=334..355
y=866, x=484..511
x=368, y=976..978
x=393, y=658..659
x=317, y=1614..1624
y=988, x=482..485
y=1484, x=348..365
x=404, y=615..627
x=530, y=1766..1778
x=493, y=30..41
x=506, y=216..226
x=393, y=710..712
x=499, y=33..46
y=1460, x=350..368
y=900, x=517..530
x=540, y=831..843
y=1372, x=321..339
x=455, y=863..881
x=317, y=886..894
x=333, y=1318..1329
y=1304, x=535..546
x=534, y=1049..1060
x=492, y=1501..1517
y=1438, x=302..321
y=1538, x=516..534
x=322, y=493..495
x=548, y=1845..1850
x=326, y=504..506
x=396, y=248..255
x=355, y=1343..1352
x=477, y=1571..1573
y=1543, x=478..492
y=1703, x=396..400
x=432, y=1185..1195
x=305, y=470..486
y=161, x=500..503
x=430, y=818..844
x=314, y=1029..1047
x=498, y=954..975
x=556, y=1607..1635
y=535, x=505..528
y=1313, x=339..355
x=359, y=976..978
y=1503, x=497..501
x=375, y=657..659
x=314, y=1570..1583
x=454, y=1633..1646
y=698, x=293..321
x=339, y=1302..1313
x=437, y=209..221
y=490, x=381..386
x=412, y=699..713
y=1445, x=328..339
y=947, x=429..434
x=423, y=1306..1312
x=434, y=668..671
y=19, x=504..508
x=321, y=685..698
x=505, y=631..655
y=843, x=540..542
x=542, y=832..843
x=333, y=76..83
y=982, x=354..374
x=363, y=1091..1101
x=491, y=478..490
x=473, y=193..206
x=443, y=1359..1382
y=774, x=419..438
x=384, y=204..231
y=1369, x=327..332
y=270, x=338..348
x=528, y=517..535
y=1310, x=345..347
y=1061, x=500..504
x=524, y=95..105
x=487, y=370..381
x=423, y=1539..1545
x=435, y=395..406
x=447, y=1032..1041
y=975, x=498..501
x=354, y=853..855
x=409, y=54..65
x=381, y=463..490
y=227, x=419..425
x=419, y=399..402
x=523, y=1333..1353
x=296, y=1307..1313
x=374, y=791..812
x=434, y=27..39
x=349, y=541..549
y=753, x=484..499
x=441, y=423..445
y=1012, x=409..414
x=360, y=127..130
x=329, y=762..770
y=394, x=500..503
y=930, x=297..300
x=482, y=973..988
x=307, y=1372..1376
x=436, y=1552..1567
x=496, y=220..223
x=383, y=1785..1796
x=390, y=351..374
y=1597, x=525..527
x=489, y=431..442
x=399, y=1415..1423
x=450, y=6..22
x=445, y=1327..1331
y=1483, x=463..484
y=364, x=541..549
y=17, x=407..434
y=1465, x=474..501
y=1718, x=287..304
x=380, y=900..909
y=1776, x=419..427
y=971, x=422..424
y=399, x=358..372
x=289, y=1249..1273
x=507, y=334..345
x=443, y=972..994
x=320, y=790..793
x=493, y=372..384
x=368, y=1448..1460
x=382, y=849..875
x=534, y=997..1023
x=425, y=54..65
x=297, y=1704..1713
x=315, y=692..694
x=479, y=1190..1197
x=397, y=800..810
x=379, y=354..363
x=534, y=1529..1538
x=343, y=217..243
y=444, x=329..333
y=689, x=424..426
y=464, x=483..486
y=452, x=354..364
x=322, y=1568..1579
x=469, y=1502..1517
x=371, y=1817..1837
y=180, x=490..496
x=397, y=1346..1367
x=308, y=1802..1803
x=453, y=116..129
x=455, y=466..482
x=431, y=546..547
x=428, y=1714..1736
y=1329, x=331..333
x=460, y=499..513
y=559, x=469..471
x=435, y=529..532
x=322, y=1591..1610
x=421, y=1678..1695
x=398, y=1310..1326
x=422, y=963..971
x=486, y=456..464
x=309, y=149..158
y=1827, x=315..319
x=288, y=9..17
y=1101, x=363..382
x=318, y=1546..1557
x=404, y=839..849
x=433, y=711..732
x=306, y=1443..1461
x=357, y=126..130
x=315, y=75..83
y=1844, x=385..417
y=1139, x=381..403
y=1063, x=518..545
x=509, y=1251..1259
x=377, y=667..685
y=196, x=344..363
x=308, y=844..860
y=1557, x=318..321
x=377, y=1444..1454
x=450, y=1263..1282
x=400, y=762..771
y=327, x=418..492
x=387, y=1636..1638
y=772, x=351..370
x=428, y=1821..1831
y=441, x=299..306
y=41, x=490..493
y=289, x=356..358
x=480, y=1213..1240
x=559, y=231..242
y=875, x=375..382
x=516, y=9..23
y=201, x=369..378
y=1887, x=375..432
y=524, x=346..368
y=1396, x=330..348
y=1762, x=526..536
x=517, y=1463..1471
x=358, y=324..334
x=310, y=1549..1560
x=530, y=1118..1119
x=334, y=166..169
x=494, y=910..931
y=745, x=389..403
x=398, y=495..504
x=437, y=668..671
x=348, y=1650..1674
y=1310, x=521..528
x=298, y=1666..1693
y=1775, x=545..548
y=48, x=375..383
x=419, y=770..774
x=378, y=175..201
x=430, y=996..1004
x=453, y=60..70
x=450, y=958..962
y=1247, x=325..328
y=858, x=494..496
x=495, y=392..401
y=1624, x=314..317
y=403, x=379..385
x=542, y=659..666
x=385, y=1830..1844
x=409, y=983..987
x=337, y=408..413
y=199, x=504..517
x=331, y=1288..1290
x=485, y=974..988
y=99, x=412..421
x=472, y=1088..1090
y=1520, x=441..450
x=516, y=868..874
y=1409, x=354..357
x=467, y=59..70
x=291, y=1768..1786
x=330, y=402..419
x=471, y=546..559
y=1273, x=364..379
x=492, y=153..164
x=504, y=1768..1785
x=346, y=1594..1606
y=844, x=297..301
y=1828, x=435..439
x=478, y=1541..1543
x=484, y=853..866
x=402, y=886..888
x=480, y=271..280
x=313, y=1499..1525
x=494, y=193..206
y=155, x=549..554
x=403, y=742..745
y=185, x=354..357
y=1112, x=491..517
y=1461, x=302..306
y=143, x=416..442
x=377, y=703..716
x=465, y=812..815
x=501, y=1480..1503
x=530, y=618..637
x=506, y=1197..1211
x=523, y=558..564
x=415, y=1604..1609
x=489, y=1456..1458
y=1733, x=524..533
x=407, y=1811..1821
y=258, x=531..542
x=434, y=919..947
x=407, y=3..17
x=406, y=719..727
x=402, y=1656..1660
y=1353, x=523..544
x=354, y=1755..1774
x=452, y=686..703
x=541, y=1626..1631
x=507, y=372..374
x=515, y=1664..1685
x=466, y=1208..1230
y=987, x=407..409
x=462, y=1313..1316
y=855, x=352..354
y=401, x=479..495
y=1312, x=423..431
y=83, x=315..333
x=320, y=1267..1270
x=396, y=1730..1742
x=291, y=1249..1273
x=549, y=376..396
y=513, x=460..479
y=1636, x=384..387
y=1786, x=448..468
x=365, y=1470..1484
y=1663, x=383..409
y=740, x=548..551
y=1313, x=296..301
y=719, x=481..502
x=384, y=1636..1638
y=1560, x=310..330
x=370, y=751..772
x=469, y=478..490
x=341, y=1736..1739
y=1240, x=527..552
x=335, y=634..659
x=428, y=700..713
x=417, y=1203..1216
x=344, y=343..358
x=517, y=100..102
y=101, x=377..385
y=1013, x=290..304
x=531, y=645..646
x=363, y=1620..1622
x=363, y=831..837
x=426, y=643..653
x=361, y=1348..1369
y=727, x=403..406
y=1075, x=313..315
y=1579, x=322..325
y=1851, x=434..436
x=361, y=1113..1122
x=434, y=50..61
y=1538, x=377..379
x=493, y=111..120
x=403, y=1127..1139
y=1347, x=346..349
x=357, y=1468..1477
x=328, y=1422..1445
y=788, x=414..417
y=1763, x=490..514
x=536, y=1755..1762
y=1003, x=480..498
x=293, y=686..698
x=525, y=1532..1535
x=504, y=1054..1061
y=287, x=313..319
x=538, y=271..273
x=354, y=1620..1622
y=914, x=291..299
y=848, x=507..511
y=1739, x=330..341
x=382, y=1442..1451
y=1865, x=306..314
y=62, x=502..505
